,CPI
2024-10-01,315.84583
2024-11-01,315.39281
2024-12-01,315.03776
2025-01-01,316.52595
2025-02-01,317.77073
2025-03-01,319.2716
2025-04-01,320.22414
2025-05-01,321.38128
2025-06-01,322.44879
2025-07-01,323.10729
2025-08-01,323.5735172924627
2025-09-01,323.92381254150746
2025-10-01,324.25465
2025-11-01,323.78958
2025-12-01,323.42508
2026-01-01,324.95289
2026-02-01,326.23082
2026-03-01,327.77165
2026-04-01,328.74955
2026-05-01,329.9375
2026-06-01,331.03343
2026-07-01,331.70947
2026-08-01,332.18812
2026-09-01,332.54774
2026-10-01,332.82948
2026-11-01,332.29431
2026-12-01,331.8625
2027-01-01,333.37218
2027-02-01,334.625
2027-03-01,336.14701
2027-04-01,337.09125
2027-05-01,338.25051
2027-06-01,339.31502
2027-07-01,339.94884
2027-08-01,340.38016
2027-09-01,340.68939
2027-10-01,340.97658
2027-11-01,340.42685
2027-12-01,339.98304
2028-01-01,341.5282
2028-02-01,342.81022
2028-03-01,344.36798
2028-04-01,345.33385
2028-05-01,346.51998
2028-06-01,347.60904
2028-07-01,348.25686
2028-08-01,348.69724
2028-09-01,349.01254
2028-10-01,349.32489
2028-11-01,348.77981
2028-12-01,348.34319
2029-01-01,349.94452
2029-02-01,351.27638
2029-03-01,352.89094
2029-04-01,353.89909
2029-05-01,355.13308
2029-06-01,356.26771
2029-07-01,356.95021
2029-08-01,357.42014
2029-09-01,357.7619
2029-10-01,358.0804
2029-11-01,357.51999
2029-12-01,357.07076
2030-01-01,358.71053
2030-02-01,360.07406
2030-03-01,361.72737
2030-04-01,362.75907
2030-05-01,364.02225
2030-06-01,365.18357
2030-07-01,365.88143
2030-08-01,366.36141
2030-09-01,366.71
2030-10-01,367.04378
2030-11-01,366.47664
2030-12-01,366.02345
2031-01-01,367.71166
2031-02-01,369.11676
2031-03-01,370.81897
2031-04-01,371.88401
2031-05-01,373.18639
2031-06-01,374.38441
2031-07-01,375.10733
2031-08-01,375.60689
2031-09-01,375.97177
2031-10-01,376.31207
2031-11-01,375.72872
2031-12-01,375.26218
2032-01-01,376.9911
2032-02-01,378.42974
2032-03-01,380.17297
2032-04-01,381.26295
2032-05-01,382.59625
2032-06-01,383.82253
2032-07-01,384.56173
2032-08-01,385.07193
2032-09-01,385.44406
2032-10-01,385.79818
2032-11-01,385.20535
2032-12-01,384.73228
2033-01-01,386.51007
2033-02-01,387.99031
2033-03-01,389.78288
2033-04-01,390.90572
2033-05-01,392.27807
2033-06-01,393.54073
2033-07-01,394.304
2033-08-01,394.8325
2033-09-01,395.21943
2033-10-01,395.58285
2033-11-01,394.9753
